,id,current_version,folder_id,title,content_length,create_by,create_on
4770,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,504221,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4769,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,621933,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
7456,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,81796,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4767,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,418503,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
4766,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,417308,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
4765,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,417155,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
4764,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,417162,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
4763,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,417093,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
4762,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,414048,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
4761,9223239,0,3165791.0,23-08-22 WIP - Co chairs IPO.docx,414029,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:06:20
9518,9623554,0,3115625.0,FEoCInfra_conferences.docx,6942,14d561eb-27ed-4b25-a5ed-5612acf4ea07,2024-04-29T14:59:34
4759,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,77335,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4758,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,77169,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4757,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,77093,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4756,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,76216,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4773,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,508032,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4774,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,508141,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4775,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,508721,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4776,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,508804,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4794,9230759,0,3165791.0,23-08-29 WIP Co-Chairs- IPO.docx,417904,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-25T14:32:43
4793,9230759,0,3165791.0,23-08-29 WIP Co-Chairs- IPO.docx,412198,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-25T14:32:43
7450,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,77826,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7451,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,77550,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7452,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,78849,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7453,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,80090,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7454,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,80161,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7455,9457353,0,2890075.0,Minumun Viable Documentation v3.docx,81647,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
4755,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,72528,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4786,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,645268,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4784,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,645889,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4783,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,644566,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4782,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,643017,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4781,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,642716,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4780,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,642161,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4779,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,642175,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4778,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,641143,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4777,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,508604,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4785,9223275,0,3116054.0,CVs paper draft_G2_1.5spaced.docx,644893,e2e74e08-ceff-45c3-a488-ddd82aff51c3,2023-08-22T08:29:28
4795,9230759,0,3165791.0,23-08-29 WIP Co-Chairs- IPO.docx,418519,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-25T14:32:43
4754,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,72517,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4752,9213994,0,3113450.0,2023-08-30-DC-Meeting-note.docx,162573,e00ba5e0-bc62-4f05-8180-1bf24158c66f,2023-08-17T09:07:16
4729,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,163034,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4728,9206827,0,3112291.0,23-09-13_Panel-Meeting_AGENDA.docx,162947,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4727,9206827,0,3112291.0,23-09-xx_Panel-Meeting_AGENDA.docx,162871,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4726,9206827,0,3112291.0,23-09-xx_Panel-Meeting_AGENDA.docx,162746,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
4725,9206827,0,3112291.0,23-09-xx_Panel-Meeting_AGENDA.docx,209518,2e757bcd-427a-4abb-8cbc-d829904cc400,2023-08-10T09:22:34
7461,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,102179,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7462,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,102985,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
7463,9457353,0,2890075.0,Minimum Viable Documentation v3.docx,102389,e13600c8-e599-4421-a737-7c8fbbc06295,2023-12-16T01:32:17
